East Plano Islamic Center,"4700 14th St, Plano, TX 75074",33.00985438394348,-96.64692490355787,55
Islamic Science and Research Academy Foundation,"930 W Parker Rd # 530, Plano, TX 75075",33.040118424839555,-96.71542517845366,20
Islamic Association of Collin County,"6401 Independence Pkwy, Plano, TX 75023",33.059741136592024,-96.75195964445483,70
Noori Masjid,"1251 Shiloh Rd, Plano, TX 75074",33.01343966676059,-96.6653978596891,20
Islamic Center of Quad Cities,"3620 State Hwy 121 STE 200, Plano, TX 75025",33.11275694839305,-96.76387780581209,15
West Plano Musallah,"2011 W Spring Creek Pkwy #610, Plano, TX 75023",33.05981514623362,-96.73218806665518,15
Masjid Salahadeen,"4030 Split Trail Rd, Plano, TX 75074",33.052665078744106,-96.69392369396384,15
Islamic Center of Wylie,"3990 Lakeway Dr, St Paul, TX 75098",33.04851181577726,-96.56704564917145,15
Islamic Association of Allen,"909 Allen Central Dr, Allen, TX 75013",33.097105396594486,-96.68366713928492,30
Anna Islamic Center,"604 W White St suite a, Anna, TX 75409",33.34479519389981,-96.55570019353105,15
Islamic Center of Aubrey,"26875 US Highway 380 E, Suite 100, Aubrey, TX 76227",33.22055786826049,-96.90803883517184,30
IILM Shia Center,"2101 W Plano Pkwy, Plano, TX 75075",33.008171713884224,-96.73474086466307,45
Minhaj ul-Quran,"3751 N Josey Ln, Carrollton, TX 75007",33.01341,-96.88754,30
Qalam,"4200 International Pkwy, Carrollton, TX 75007",33.02279,-96.84756,60
City of Knowledge,"1800 Golden Trail Ct, Carrollton, TX 75010",33.03315,-96.88635,65
White Masjid,"9515 Westridge Blvd McKinney TX 75070",33.188597,96.741197,20
