Islamic Center of Greater Austin,"5110 Manor Rd, Austin, TX 78723",30.299641943071986,-97.68680520009863,25
North Austin Muslim Community Center,"11900 N Lamar Blvd, Austin, TX 78753",30.390364333182045,-97.68400244857575,35
Nueces Mosque,"1906 Nueces St, Austin, TX 78705",30.283209695644754,-97.74433271382449,15
Masjid Ibrahim,"8521 State Hwy 71, Austin, TX 78735",30.248174939056184,-97.89206881034491,25
Islamic Center Of Lake Travis,"4701 Doss Rd, Austin, TX 78734",30.41121060216306,-97.93006368781384,15
Islamic Ahlul Bayt Association,"12460 Los Indios Trail, Austin, TX 78729",30.439662103618833,-97.7609946930322,25
